PubId,PubName,PubGroupId,PubGroupName
3071,att myworldnet mort,437,ATT Banners
3067,att news mort,437,ATT Banners
3230,att real estate mort,437,ATT Banners
2319,att travel ad,437,ATT Banners
3068,att weather mort,437,ATT Banners
2321,black planet edu ad,448,Community Connect Banners
2276,category_test,127,Unclassified Banner Pubs
2519,cbsnews edu ad,127,Unclassified Banner Pubs
2360,chicago edu ad,127,Unclassified Banner Pubs
2361,chicago travel ad,127,Unclassified Banner Pubs
2843,claria BL mort,83,Gator Banners
2292,classmates 125x125,313,United Online Banners
2281,classmates adnav3 text,313,United Online Banners
2284,classmates bonus banr_sky,313,United Online Banners
2285,classmates bonus_PB,313,United Online Banners
2559,classmates home equity,313,United Online Banners
2780,classmates nruhp 2 mort ad,313,United Online Banners
3121,classmates nruhp edu,313,United Online Banners
2215,classmates nruhp_pop,313,United Online Banners
3272,classmates page ad,313,United Online Banners
2575,classmates product ad,313,United Online Banners
2308,classmates travel ad,313,United Online Banners
2444,classmates traveldest banners,313,United Online Banners
864,classmates1,313,United Online Banners
3102,classmates1 he,313,United Online Banners
2735,clear channel home equity,444,Clearchannel Banners
2684,clear channel mort ad,444,Clearchannel Banners
2816,clear channel mort text,444,Clearchannel Banners
3104,cnn he ad,125,AOL Banners
3242,cnn money edu,125,AOL Banners
3201,cnn money pf quotes portfolio mort ad,125,AOL Banners
2983,cnnmoney.com - Personal Finance - News Module,125,AOL Banners
3243,comcast ROS edu,447,Comcast Banners
3135,comcast home edu,447,Comcast Banners
3260,compuserve .75 comm comm comm mail mort ad,125,AOL Banners
3257,compuserve comm comm comm messaging mort ad,125,AOL Banners
3105,compuserve he ad,125,AOL Banners
3106,cox atlanta he,449,Cox Banners
2605,cox net,449,Cox Banners
3109,cox radio he,449,Cox Banners
3030,cox stocks text,449,Cox Banners
2643,dig root Dice,451,Digital Root Banners
2647,dig root chicago,451,Digital Root Banners
2958,dig root hollywood,451,Digital Root Banners
3055,dig root live365 mort,451,Digital Root Banners
2959,dig root newsweek,451,Digital Root Banners
2885,earthlink keyword banner,61,Earthlink Banners
2874,earthlink search banner,61,Earthlink Banners
2990,email adcom,292,Advertising.com Banners
3043,email datran10,450,Datran (Email)
3045,email datran12,450,Datran (Email)
3050,email datran16,450,Datran (Email)
3051,email datran18,450,Datran (Email)
3052,email datran19,450,Datran (Email)
3035,email datran2,450,Datran (Email)
3262,email datran21,450,Datran (Email)
3039,email datran6,450,Datran (Email)
3041,email datran8,450,Datran (Email)
3244,email experian news calibex,513,Unclassified (email)
3237,email msn auto mort,335,MSN Banners
3235,email msn credit mort,335,MSN Banners
3265,email msn investing,335,MSN Banners
2075,email_Lycos_co-reg,513,Unclassified (email)
2930,excite edu,81,AskJeeves Banners
2860,excite money mort,81,AskJeeves Banners
1990,excite mort ad,81,AskJeeves Banners
2861,excite news mort,81,AskJeeves Banners
2355,excite text travel,81,AskJeeves Banners
1644,fastclick mortgage ad,457,Fastclick Banners
3271,fastclick2 mortgage ad,457,Fastclick Banners
3122,first media edu,529,Winstar Banners
3114,first media works he,529,Winstar Banners
2186,fox new mort_1.01,458,Foxnews Banners
2185,fox news mort_1.51,458,Foxnews Banners
2893,foxnews home equity ad,458,Foxnews Banners
2876,foxnews phone,458,Foxnews Banners
2877,foxnews phone2,458,Foxnews Banners
2452,foxnews travel dest,458,Foxnews Banners
2746,gannett news mort ad,459,Gannett Banners
2408,home gain mort ad 3,127,Unclassified Banner Pubs
2410,home gain mort ad 5,127,Unclassified Banner Pubs
2768,hoovers mort ad,127,Unclassified Banner Pubs
2870,hotmail phone,335,MSN Banners
2970,ibs ROS he ad,461,IBS Network Banners
2626,ibs San Francisco,461,IBS Network Banners
2787,ibs news mort,461,IBS Network Banners
2786,ibs weather mort,461,IBS Network Banners
2969,intellicast high he ad,464,Intellicast Group Banners
2396,interest high cobrand,466,Interest.com Banners
2862,iwon news mort,81,AskJeeves Banners
3090,journal interactive travel special ad,467,Journal Interactive Banners
2793,knight ridder real,127,Unclassified Banner Pubs
3253,lycos ROS edu,9,247 Real Media Banners
2749,lycos homepage,9,247 Real Media Banners
2777,maps mort ad,127,Unclassified Banner Pubs
3089,media general travel special ad,468,Media General Banners
3123,morris edu,127,Unclassified Banner Pubs
2989,morris mortgage,127,Unclassified Banner Pubs
3284,msn education,335,MSN Banners
2578,msn home equity,335,MSN Banners
2764,msn mantle10 mort,335,MSN Banners
2464,msn mantle2 mort,335,MSN Banners
2466,msn mantle4 mort,335,MSN Banners
2760,msn mantle6 mort,335,MSN Banners
2731,msnrem astrol,335,MSN Banners
3166,msnrem astrol he,335,MSN Banners
3130,msnrem astrology edu,335,MSN Banners
2722,msnrem autos,335,MSN Banners
3086,msnrem careers,335,MSN Banners
3168,msnrem careers he,335,MSN Banners
3056,msnrem encarta mort,335,MSN Banners
3170,msnrem encarta multi he,335,MSN Banners
3087,msnrem encarta quizzes,335,MSN Banners
2729,msnrem entertain,335,MSN Banners
2962,msnrem entertain he ad,335,MSN Banners
3058,msnrem entertainment,335,MSN Banners
